7530-428102
OS REV: 1.05 Sensor Cal: 1572940800
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1656645000, +2.74, +27.061,  +6.63195, +67.000, +1217.000, +704.000
1656645120, +2.74, +27.045,  +5.31900, +65.000, +1217.000, +705.000
1656645240, +2.74, +27.053,  +3.88528, +96.000, +1294.000, +627.000
1656645360, +2.74, +27.037,  +2.76432, +65.000, +1219.000, +704.000
1656645480, +2.74, +27.028,  +2.02114, +65.000, +1216.000, +707.000
1656645600, +2.74, +27.020,  +1.30273, +67.000, +1217.000, +705.000
1656645720, +2.74, +27.028,  +0.87540, +65.000, +1216.000, +710.000
1656645840, +2.74, +26.995,  +0.61219, +67.000, +1217.000, +704.000
1656645960, +2.74, +26.987,  +0.40163, +67.000, +1216.000, +704.000
1656646080, +2.74, +26.971,  +0.26847, +104.000, +1278.000, +623.000
1656646200, +2.74, +26.971,  +0.13532, +65.000, +1216.000, +704.000
1656646320, +2.74, +26.971,  +0.04242, +67.000, +1216.000, +707.000
1656646440, +2.74, +26.954,  +0.00836, +67.000, +1216.000, +707.000
1656646560, +2.74, +26.929,  +0.00526, +102.000, +1292.000, +611.000
1656646680, +2.74, +26.921,  +0.01146, +105.000, +1271.000, +620.000
1656646800, +2.74, +26.929,  +0.02075, +104.000, +1276.000, +623.000
1656646920, +2.74, +26.896,  +0.02384, +103.000, +1278.000, +620.000
1656647040, +2.74, +26.896,  -0.02261, +65.000, +1219.000, +707.000
1656647160, +2.74, +26.863,  -0.01332, +67.000, +1217.000, +707.000
1656647280, +2.74, +26.863,  -0.03189, +68.000, +1217.000, +705.000
1656647400, +2.74, +26.847,  -0.04428, +65.000, +1216.000, +707.000
1656647520, +2.74, +26.838,  +0.00836, +70.000, +1216.000, +705.000
1656647640, +2.74, +26.822,  +0.00526, +105.000, +1276.000, +623.000
